Augustana Faculty,AUIDS,AUIDS160,Introduction to Crime, Correction, and Community
Augustana Faculty,AUIDS,AUIDS201,Foundations in Liberal Studies
Augustana Faculty,AUIDS,AUIDS206A,Student Leadership: Theory and Practice
Augustana Faculty,AUIDS,AUIDS206B,Student Leadership: Theory and Practice
Augustana Faculty,AUIDS,AUIDS211,Interdisciplinary Science Projects
Augustana Faculty,AUIDS,AUIDS230,Introduction to Gender and Women's Studies
Augustana Faculty,AUIDS,AUIDS244A,Introduction to Peer Tutoring and Second-Language Learning Practices in the Writing Centre
Augustana Faculty,AUIDS,AUIDS244B,Introduction to Peer Tutoring and Second-Language Learning Practices in the Writing Centre
Augustana Faculty,AUIDS,AUIDS276,Topics in Integrative Studies
Augustana Faculty,AUIDS,AUIDS286,Selected Topics in Place-Based Studies
Augustana Faculty,AUIDS,AUIDS287,Topics in Place-Based Learning
Augustana Faculty,AUIDS,AUIDS290,Directed Reading
Augustana Faculty,AUIDS,AUIDS291,Directed Reading
Augustana Faculty,AUIDS,AUIDS292,Integrative Studies (Cuba)
Augustana Faculty,AUIDS,AUIDS302,Exploring Body Issues
Augustana Faculty,AUIDS,AUIDS370,Topics in Integrative Studies
Augustana Faculty,AUIDS,AUIDS386,Selected Topics in Place-Based Studies
Augustana Faculty,AUIDS,AUIDS387,Topics in Place-Based Learning
Augustana Faculty,AUIDS,AUIDS390,Directed Reading
Augustana Faculty,AUIDS,AUIDS391,Directed Reading
Augustana Faculty,AUIND,AUIND101,Introduction to Indigenous Studies
Augustana Faculty,AUIND,AUIND201,Introduction to Indigenous Studies
Augustana Faculty,AUIND,AUIND240,Introduction to Indigenous Cultural Production
Augustana Faculty,AUIND,AUIND300,Selected Topics in Indigenous Studies
Augustana Faculty,AUIND,AUIND367,The Fur Trade
Augustana Faculty,AUIND,AUIND370,Oral History
Augustana Faculty,AUIND,AUIND467,The Fur Trade
Augustana Faculty,AUIND,AUIND470,Oral History
Augustana Faculty,AUIND,AUIND490,Directed Studies in Indigenous Studies
Augustana Faculty,AULAN,AULAN101,Introduction to Linguistic Analysis
Augustana Faculty,AULAT,AULAT101,Beginners' Latin I
Augustana Faculty,AULIT,AULIT301,TOPS IN 20C LATIN AM LIT
Augustana Faculty,AUMAT,AUMAT101,Preparation for Calculus
Augustana Faculty,AUMAT,AUMAT107,Higher Arithmetic
Augustana Faculty,AUMAT,AUMAT110,Elementary Calculus I
Augustana Faculty,AUMAT,AUMAT112,Elementary Calculus II
Augustana Faculty,AUMAT,AUMAT116,Elementary Calculus I (Enriched)
Augustana Faculty,AUMAT,AUMAT120,Linear Algebra I
Augustana Faculty,AUMAT,AUMAT211,Intermediate Calculus I
Augustana Faculty,AUMAT,AUMAT212,Intermediate Calculus II
Augustana Faculty,AUMAT,AUMAT220,Linear Algebra II
Augustana Faculty,AUMAT,AUMAT229,Introduction to Group Theory
Augustana Faculty,AUMAT,AUMAT235,Mathematics in Economics and Finance
Augustana Faculty,AUMAT,AUMAT250,Discrete Mathematics
Augustana Faculty,AUMAT,AUMAT260,Foundations of Geometry
Augustana Faculty,AUMAT,AUMAT315,Complex Variables
Augustana Faculty,AUMAT,AUMAT330,Ordinary Differential Equations
Augustana Faculty,AUMAT,AUMAT332,Mathematical Ecology and Dynamical Systems
Augustana Faculty,AUMAT,AUMAT340,Numerical Methods
Augustana Faculty,AUMAT,AUMAT395,Directed Study
Augustana Faculty,AUMAT,AUMAT480,History of Mathematics and Physics
Augustana Faculty,AUMAT,AUMAT495,Directed Study
Augustana Faculty,AUMGT,AUMGT100,Introduction to Business
